Host,HostCode,Target,TargetCode,Amount,
Albania,ALB,Brazil,BRA,1792.00,
Albania,ALB,Brunei Darussalam,BRN,0.00,
Albania,ALB,Bulgaria,BGR,80640.00,
Albania,ALB,Burkina Faso,BFA,2208.00,
Albania,ALB,Burundi,BDI,1104.00,
Albania,ALB,Cambodia,KHM,960.00,
Albania,ALB,Cameroon,CMR,0.00,
Albania,ALB,Canada,CAN,16320.00,
Albania,ALB,Cape Verde,CPV,0.00,
Albania,ALB,Cayman Islands,CYM,0.00,
Albania,ALB,Central African Republic,CAF,0.00,
Albania,ALB,Chad,TCD,0.00,
Albania,ALB,Chile,CHL,896.00,
Albania,ALB,China,CHN,33600.00,
Albania,ALB,Colombia,COL,1792.00,
Albania,ALB,Comoros,COM,0.00,
Albania,ALB,Congo,COG,2208.00,
Albania,ALB,"Congo, the Democratic Republic of the",COD,1104.00,
Albania,ALB,Cook Islands,COK,0.00,
Albania,ALB,Costa Rica,CRI,0.00,
Albania,ALB,Cote d'Ivoire,CIV,0.00,
Albania,ALB,Croatia,HRV,53760.00,
Albania,ALB,Cuba,CUB,2688.00,
Albania,ALB,Cyprus,CYP,960.00,
Albania,ALB,Czech Republic,CZE,1372800.00,
Albania,ALB,Denmark,DNK,38400.00,
Albania,ALB,Djibouti,DJI,0.00,
Albania,ALB,Dominica,DMA,0.00,
Albania,ALB,Dominican Republic,DOM,1579.76,
Albania,ALB,Ecuador,ECU,1304.52,
Albania,ALB,Egypt,EGY,11040.00,
Albania,ALB,El Salvador,SLV,1020.60,
Albania,ALB,Equatorial Guinea,GNQ,0.00,
Albania,ALB,Eritrea,ERI,1104.00,
Albania,ALB,Estonia,EST,26880.00,
Albania,ALB,Ethiopia,ETH,1104.00,
Albania,ALB,Falkland Islands (Malvinas)*,FLK,0.00,
Albania,ALB,Faroe Islands,FRO,0.00,
Albania,ALB,Fiji,FJI,0.00,
Albania,ALB,Finland,FIN,12480.00,
Albania,ALB,France,FRA,705600.00,
Albania,ALB,French Guiana,GUF,0.00,
Albania,ALB,French Polynesia,PYF,0.00,
Albania,ALB,Gabon,GAB,0.00,
Albania,ALB,Gambia,GMB,0.00,
Albania,ALB,Georgia,GEO,44160.00,
Albania,ALB,Germany,DEU,450240.00,
Albania,ALB,Ghana,GHA,2208.00,
Albania,ALB,Gibraltar,GIB,0.00,
Albania,ALB,Greece,GRC,52800.00,
Albania,ALB,Greenland,GRL,0.00,
Albania,ALB,Grenada,GRD,0.00,
Albania,ALB,Guadeloupe,GLP,0.00,
Albania,ALB,Guam,GUM,0.00,
Albania,ALB,Guatemala,GTM,941.86,
Albania,ALB,Guinea,GIN,1104.00,
Albania,ALB,Guinea-Bissau,GNB,0.00,
Albania,ALB,Guyana,GUY,336.00,
Albania,ALB,Haiti,HTI,448.00,
Albania,ALB,Honduras,HND,1091.69,
Albania,ALB,Hong Kong,HKG,960.00,
Albania,ALB,Hungary,HUN,95040.00,
Albania,ALB,Iceland,ISL,0.00,
Albania,ALB,India,IND,20160.00,
Albania,ALB,Indonesia,IDN,2880.00,
Albania,ALB,"Iran, Islamic Republic of",IRN,4800.00,
Albania,ALB,Iraq,IRQ,7680.00,
Albania,ALB,Ireland,IRL,3840.00,
Albania,ALB,Israel,ISR,9600.00,
Albania,ALB,Italy,ITA,39360.00,
Albania,ALB,Jamaica,JAM,896.00,
Albania,ALB,Japan,JPN,3840.00,
Albania,ALB,Jordan,JOR,2880.00,
Albania,ALB,Kazakhstan,KAZ,110400.00,
Albania,ALB,Kenya,KEN,1104.00,
Albania,ALB,Kiribati,KIR,0.00,
Albania,ALB,"Korea, Democratic People’s Republic of",PRK,960.00,
Albania,ALB,"Korea, Republic of",KOR,2880.00,
Albania,ALB,Kuwait,KWT,1920.00,
Albania,ALB,Kyrgyzstan,KGZ,21120.00,
Albania,ALB,Lao People’s Democratic Republic,LAO,960.00,
Albania,ALB,Latvia,LVA,49920.00,
Albania,ALB,Lebanon,LBN,11520.00,
Albania,ALB,Lesotho,LSO,0.00,
Albania,ALB,Liberia,LBR,0.00,
Albania,ALB,Libyan Arab Jamahiriya,LBY,3312.00,
Albania,ALB,Liechtenstein,LIE,0.00,
Albania,ALB,Lithuania,LTU,330240.00,
Albania,ALB,Luxembourg,LUX,4800.00,
Albania,ALB,Macau,MAC,0.00,
Albania,ALB,"Macedonia, the former Yugoslav Republic of",MKD,52800.00,
Albania,ALB,Madagascar,MDG,0.00,
Albania,ALB,Malawi,MWI,0.00,
Albania,ALB,Malaysia,MYS,960.00,
Albania,ALB,Maldives,MDV,0.00,
