Dest,DestCode,Origin,OriginCode,Migrants
Albania,ALB,"Korea, Democratic People’s Republic of",PRK,1.00
Albania,ALB,"Korea, Republic of",KOR,3.00
Albania,ALB,Kuwait,KWT,2.00
Albania,ALB,Kyrgyzstan,KGZ,22.00
Albania,ALB,Lao People’s Democratic Republic,LAO,1.00
Albania,ALB,Latvia,LVA,52.00
Albania,ALB,Lebanon,LBN,12.00
Albania,ALB,Lesotho,LSO,0.00
Albania,ALB,Liberia,LBR,0.00
Albania,ALB,Libyan Arab Jamahiriya,LBY,3.45
Albania,ALB,Liechtenstein,LIE,0.00
Albania,ALB,Lithuania,LTU,344.00
Albania,ALB,Luxembourg,LUX,1.00
Albania,ALB,Macau,MAC,0.00
Albania,ALB,"Macedonia, the former Yugoslav Republic of",MKD,55.00
Albania,ALB,Madagascar,MDG,0.00
Albania,ALB,Malawi,MWI,0.00
Albania,ALB,Malaysia,MYS,1.00
Albania,ALB,Maldives,MDV,0.00
Albania,ALB,Mali,MLI,2.30
Albania,ALB,Malta,MLT,0.00
Albania,ALB,Marshall Islands,MHL,0.00
Albania,ALB,Martinique,MTQ,0.00
Albania,ALB,Mauritania,MRT,0.00
Albania,ALB,Mauritius,MUS,0.00
Albania,ALB,Mayotte,MYT,0.00
Albania,ALB,Mexico,MEX,18.00
Albania,ALB,"Micronesia, Federated States of",FSM,0.00
Albania,ALB,"Moldova, Republic of",MDA,123.00
Albania,ALB,Monaco,MCO,0.00
Albania,ALB,Mongolia,MNG,5.00
Albania,ALB,Montserrat,MSR,0.00
Albania,ALB,Morocco,MAR,5.75
Albania,ALB,Mozambique,MOZ,1.15
Albania,ALB,Myanmar,MMR,1.00
Albania,ALB,Namibia,NAM,0.00
Albania,ALB,Nauru,NRU,0.00
Albania,ALB,Nepal,NPL,1.00
Albania,ALB,Netherlands,NLD,10.00
Albania,ALB,Netherlands Antilles,ANT,0.00
Albania,ALB,New Caledonia,NCL,0.00
Albania,ALB,New Zealand,NZL,2.00
Albania,ALB,Nicaragua,NIC,1.40
Albania,ALB,Niger,NER,1.15
Albania,ALB,Nigeria,NGA,14.90
Albania,ALB,Niue,NIU,0.00
Albania,ALB,Norfolk Island,NFK,0.00
Albania,ALB,Northern Mariana Islands,MNP,0.00
Albania,ALB,Norway,NOR,3.00
Albania,ALB,Oman,OMN,0.00
Albania,ALB,Pakistan,PAK,9.00
Albania,ALB,Palau,PLW,0.00
