HostCode,TargetCode,Amount
DZA,ARM,400680.00
DZA,ABW,5400.00
DZA,AUS,1971000.00
DZA,AUT,2435400.00
DZA,AZE,579960.00
DZA,BHS,20520.00
DZA,BHR,1329480.00
DZA,BGD,2152440.00
DZA,BRB,43200.00
DZA,BLR,847800.00
DZA,BEL,2322000.00
DZA,BLZ,21600.00
DZA,BEN,264546.00
DZA,BMU,21600.00
DZA,BTN,4320.00
DZA,BOL,237848.92
DZA,BIH,505440.00
DZA,BWA,8694.00
DZA,BRA,422280.00
DZA,BRN,34560.00
DZA,BGR,361800.00
DZA,BFA,597402.00
DZA,BDI,192510.00
DZA,KHM,126360.00
DZA,CMR,137862.00
DZA,CAN,1352160.00
DZA,CPV,81972.00
DZA,CYM,1080.00
DZA,CAF,69552.00
DZA,TCD,270756.00
DZA,CHL,227880.00
DZA,CHN,2516400.00
DZA,COL,697680.00
DZA,COM,777492.00
DZA,COG,231012.00
DZA,COD,367632.00
DZA,COK,9720.00
DZA,CRI,76581.26
DZA,CIV,177606.00
DZA,HRV,282960.00
DZA,CUB,454680.00
DZA,CYP,110160.00
DZA,CZE,1252800.00
DZA,DNK,1058400.00
DZA,DJI,321678.00
DZA,DMA,17280.00
DZA,DOM,662652.82
DZA,ECU,404108.85
DZA,EGY,25054866.00
DZA,SLV,554812.06
DZA,GNQ,44712.00
DZA,ERI,7068222.00
DZA,EST,75600.00
DZA,ETH,403650.00
DZA,FLK,1080.00
DZA,FJI,60480.00
DZA,FIN,196560.00
DZA,FRA,17253000.00
DZA,GUF,2160.00
DZA,PYF,1080.00
DZA,GAB,24840.00
DZA,GMB,38502.00
DZA,GEO,446040.00
DZA,DEU,5785560.00
DZA,GHA,515430.00
DZA,GIB,9720.00
DZA,GRC,922320.00
DZA,GRL,2160.00
DZA,GRD,28080.00
DZA,GLP,1080.00
DZA,GUM,36720.00
DZA,GTM,540391.45
DZA,GIN,331614.00
DZA,GNB,85698.00
DZA,GUY,105120.00
DZA,HTI,312120.00
DZA,HND,371077.26
DZA,HKG,335880.00
DZA,HUN,212760.00
DZA,ISL,22680.00
DZA,IND,3569400.00
DZA,IDN,1306800.00
DZA,IRN,10071000.00
DZA,IRQ,11932920.00
DZA,IRL,420120.00
DZA,ISR,776520.00
DZA,ITA,3867480.00
DZA,JAM,387720.00
DZA,JPN,982800.00
DZA,JOR,8586000.00
DZA,KAZ,1558440.00
DZA,KEN,268272.00
DZA,KIR,1080.00
DZA, Democratic People’s Republic of",PRK
DZA,KOR,698760.00
DZA,KWT,5424840.00
DZA,KGZ,247320.00
DZA,LAO,150120.00
DZA,LVA,88560.00
DZA,LBN,7286760.00
DZA,LSO,19872.00
DZA,LBR,57132.00
DZA,LBY,1976022.00
DZA,LIE,2160.00
DZA,LTU,136080.00
DZA,LUX,97200.00
DZA,MAC,42120.00
DZA,MKD,101520.00
DZA,MDG,85698.00
DZA,MWI,68310.00
DZA,MYS,1329480.00
DZA,MDV,2160.00
DZA,MLI,787428.00
DZA,MLT,68040.00
DZA,MHL,4320.00
DZA,MTQ,1080.00
DZA,MRT,1331424.00
DZA,MUS,74520.00
DZA,MEX,4281120.00
DZA,FSM,9720.00
DZA,MDA,295920.00
DZA,MCO,34560.00
DZA,MNG,3240.00
DZA,MSR,6480.00
DZA,MAR,32915484.00
DZA,MOZ,331614.00
DZA,MMR,110160.00
DZA,NAM,197478.00
DZA,NPL,326160.00
DZA,NLD,765720.00
DZA,ANT,42120.00
DZA,NCL,1080.00
DZA,NZL,263520.00
DZA,NIC,309700.50
DZA,NER,255852.00
DZA,NGA,3143118.49
DZA,NIU,3240.00
DZA,MNP,4320.00
DZA,NOR,115560.00
DZA,OMN,356400.00
DZA,PAK,1452600.00
DZA,PLW,4320.00
DZA,PSE,27424440.00
DZA,PAN,78840.00
DZA,PNG,21600.00
DZA,PRY,174960.00
DZA,PER,301320.00
DZA,PHL,1625400.00
DZA,POL,972000.00
DZA,PRT,770040.00
DZA,PRI,675000.00
DZA,QAT,275400.00
DZA,ROM,2505600.00
DZA,RUS,9002880.00
DZA,RWA,132894.00
DZA,SHN,2160.00
DZA,KNA,15120.00
DZA,LCA,20520.00
DZA,VCT,22680.00
DZA,WSM,44280.00
DZA,SMR,3240.00
DZA,STP,8694.00
DZA,SAU,4239000.00
DZA,SEN,386262.00
DZA,SCG,700920.00
DZA,SYC,14904.00
DZA,SLE,59616.00
DZA,SGP,130680.00
DZA,SVK,226800.00
DZA,SVN,45360.00
DZA,SLB,3240.00
DZA,SOM,7181244.00
DZA,ZAF,423522.00
DZA,ESP,3585600.00
DZA,LKA,433080.00
DZA,SDN,14983488.00
DZA,SUR,100440.00
DZA,SWZ,6210.00
DZA,SWE,267840.00
DZA,CHE,4633200.00
DZA,SYR,6663600.00
DZA,TWN,226800.00
DZA,TJK,358560.00
DZA,TZA,191268.00
DZA,THA,724680.00
DZA,TLS,8640.00
DZA,TGO,95634.00
DZA,TKL,1080.00
DZA,TON,21600.00
DZA,TTO,137160.00
DZA,TUN,6193800.00
DZA,TUR,1437480.00
DZA,TKM,115560.00
DZA,TCA,1080.00
DZA,TUV,1080.00
DZA,UGA,119232.00
DZA,UKR,2463480.00
DZA,ARE,1357560.00
DZA,GBR,2995920.00
DZA,USA,7486560.00
DZA,URY,103680.00
DZA,UZB,1009800.00
DZA,VUT,2160.00
DZA,VEN,140400.00
DZA,VNM,804600.00
DZA,VGB,3240.00
DZA,VIR,28080.00
DZA,WLF,3240.00
DZA,YEM,7690680.00
DZA,ZMB,109296.00
DZA,ZWE,146556.00
ASM,AFG,15360.00
ASM,ARG,4800.00
ASM,ARM,1920.00
ASM,AUS,28800.00
ASM,AUT,9600.00
ASM,AZE,3840.00
ASM,BGD,26880.00
ASM,BIH,3840.00
ASM,KHM,11520.00
ASM,CAN,14400.00
ASM,CHL,9600.00
ASM,CHN,641280.00
ASM,COK,76800.00
ASM,HRV,7680.00
ASM,CYP,3840.00
ASM,CZE,4800.00
ASM,DNK,4800.00
ASM,EGY,6624.00
ASM,SLV,5467.48
ASM,FJI,587520.00
ASM,FIN,1920.00
ASM,FRA,14400.00
ASM,PYF,11520.00
ASM,GEO,1920.00
ASM,DEU,17280.00
ASM,GRC,17280.00
ASM,GUM,272640.00
ASM,HKG,26880.00
ASM,HUN,3840.00
ASM,IND,72960.00
ASM,IDN,23040.00
ASM,IRN,5760.00
ASM,IRQ,7680.00
ASM,IRL,7680.00
ASM,ISR,3840.00
ASM,ITA,32640.00
ASM,JPN,15360.00
ASM,JOR,1920.00
ASM,KAZ,9600.00
ASM,KEN,3312.00
ASM,KIR,11520.00
ASM, Democratic People’s Republic of",PRK
ASM,KOR,702720.00
ASM,KWT,1920.00
ASM,KGZ,1920.00
ASM,LAO,3840.00
ASM,LVA,1920.00
ASM,LBN,11520.00
ASM,MKD,5760.00
ASM,MYS,30720.00
ASM,MLT,7680.00
ASM,MHL,34560.00
ASM,MUS,3312.00
ASM,FSM,76800.00
ASM,MMR,3840.00
ASM,NRU,3840.00
ASM,NPL,3840.00
ASM,NLD,15360.00
ASM,NCL,7680.00
ASM,NZL,883200.00
ASM,NIU,23040.00
ASM,MNP,30720.00
ASM,PAK,19200.00
ASM,PLW,34560.00
ASM,PSE,1920.00
ASM,PNG,172800.00
ASM,PHL,2549760.00
ASM,POL,9600.00
ASM,PRT,1920.00
ASM,ROM,4800.00
ASM,RUS,3840.00
ASM,WSM,68014080.00
ASM,SCG,9600.00
ASM,SGP,11520.00
ASM,SVN,1920.00
ASM,SLB,15360.00
ASM,ZAF,26496.00
ASM,ESP,4800.00
ASM,LKA,23040.00
ASM,SWE,1920.00
ASM,CHE,4800.00
ASM,SYR,1920.00
ASM,TWN,718080.00
ASM,TJK,1920.00
ASM,THA,11520.00
ASM,TLS,3840.00
ASM,TKL,103680.00
ASM,TON,4400640.00
ASM,TUR,11520.00
ASM,TUV,3840.00
ASM,UKR,1920.00
ASM,GBR,190080.00
ASM,USA,17241600.00
ASM,URY,4800.00
ASM,UZB,5760.00
ASM,VUT,15360.00
ASM,VNM,783360.00
ASM,WLF,11520.00
ASM,YEM,1920.00
ASM,ZWE,3312.00
AND,AFG,87360.00
AND,ALB,20160.00
AND,DZA,60858.00
AND,AGO,23184.00
AND,ATG,3360.00
AND,ARG,739200.00
AND,ARM,22680.00
AND,AUS,243600.00
AND,AUT,21000.00
AND,AZE,40320.00
AND,BHR,2520.00
AND,BGD,198240.00
AND,BRB,3360.00
AND,BLR,52920.00
AND,BEL,1369200.00
AND,BLZ,3360.00
AND,BEN,17388.00
AND,BOL,19865.09
AND,BIH,35280.00
AND,BRA,33600.00
AND,BGR,22680.00
AND,BFA,40572.00
AND,BDI,11592.00
AND,KHM,11340.00
AND,CMR,5796.00
AND,CAN,50400.00
AND,CPV,5796.00
AND,CAF,2898.00
AND,TCD,8694.00
AND,CHL,268800.00
AND,CHN,245700.00
AND,COL,55860.00
AND,COG,14490.00
AND,COD,23184.00
AND,CRI,5540.76
AND,CIV,5796.00
AND,HRV,15120.00
AND,CUB,43680.00
AND,CYP,5040.00
AND,CZE,16800.00
AND,DNK,12600.00
AND,DOM,59240.99
AND,ECU,39135.49
AND,EGY,60858.00
AND,SLV,45926.79
AND,GNQ,2898.00
AND,ERI,17388.00
AND,EST,5040.00
AND,ETH,8694.00
AND,FJI,7560.00
AND,FIN,10080.00
AND,FRA,24003000.00
AND,GAB,2898.00
AND,GMB,2898.00
AND,GEO,30240.00
AND,DEU,1189440.00
AND,GHA,28980.00
AND,GRC,25200.00
AND,GRD,3360.00
AND,GUM,3780.00
AND,GTM,49447.58
AND,GIN,17388.00
AND,GNB,2898.00
AND,GUY,11520.00
AND,HTI,30240.00
AND,HND,32750.71
