TargetCode,HostCode,Amount
ROM, CAN ,145481176.3
BEL, USA ,145465891.9
MEX, ESP ,142538602.3
HRV, AUS ,142279064.4
KOR, DEU ,142256336.7
ROM, MDA ,141889756
NPL, GBR ,141633525.5
USA, USA ,140449309.8
SLV, CAN ,139442713.2
VNM, USA ,139053959.2
MDG, FRA ,138199437.4
TUV, KEN ,138116711.9
PNG, ARG ,137764486.7
TZA, KHM ,137056174.7
TUV, GBR ,136387839.4
VCT, YEM ,136197889.2
BGR, GRC ,136012635.5
BGD, ARE ,135901381.8
UGA, BLR ,135614992.3
PER, QAT ,135350240
HUN, CAN ,134753878.6
CZE, USA ,134697619
DNK, USA ,134482795.9
COL, CAN ,133974036
IND, FRA ,133806790.3
NER, ITA ,133168758.1
LBN, GBR ,132933555.1
CHE, KWT ,132708210.9
OMN, KWT ,132708210.9
ROM, EST ,132345848
DEU, ITA ,131602490.9
HRV, AUT ,131443520.2
SOM, NZL ,131289204.2
BIH, CHE ,131237785.4
SWE, USA ,131018506.7
LBN, DNK ,130892600
SAU, ESP ,130212347.7
EGY, PSE ,129129313.4
LTU, RUS ,127169048
PHL, ISR ,126669720.8
SGP, GBR ,125896467.1
GHA, ITA ,125825651.7
POL, LUX ,125649291.9
HTI, DOM ,125088617.5
DNK, DEU ,124989698
IDN, JPN ,124394676.8
HTI, CAN ,123904531.5
HTI, FRA ,123782544.2
FRA, PYF ,123625695.3
FRA, AUS ,123611243.9
IND, ESP ,123404171.7
PHL, AUS ,123106708.2
IRL, AUS ,122097636.8
JPN, GBR ,121962202.5
NAM, GBR ,121962202.5
GBR, PSE ,121583444
KOR, NZL ,120994235.4
IRQ, ISR ,120890113.8
SWZ, NOR ,120726911.7
DEU, SWE ,120718512.3
TUN, SAU ,120704716
DNK, NOR ,120675599.4
MLT, GBR ,120213640.5
SOM, CAN ,119623284.4
ROM, ESP ,119570101.3
ERI, SDN ,119091044.3
EGY, CAN ,119029903.7
MAR, ZAF ,118182528.3
TZA, GBR ,118027937.9
BGD, MYS ,117995937.1
MKD, CHE ,117382944.1
HRV, USA ,117178621.1
BLZ, USA ,117129268.9
AFG, NLD ,117128803.7
CHL, CAN ,116631704.2
KHM, AUS ,115841394.3
ARE, NLD ,115511790
HRV, CAN ,115142913.6
PAN, AUS ,115034137.2
MLI, CIV ,114649550.6
MKD, AUS ,113305589
BRA, FRA ,113242882.9
KHM, FRA ,113008371.9
NPL, FRA ,112857242.3
CHL, SWE ,112661944.1
QAT, TUR ,111512064
BHS, USA ,111121467.6
MSR, USA ,111106221.9
CHL, AUS ,110997851.7
ESP, JOR ,110925439.3
BGR, ITA ,109694410
URY, ISR ,109640750.9
PHL, BEL ,108320186.3
CZE, CAN ,107711184.2
BLR, POL ,107708702.6
SWZ, USA ,107516508.5
FJI, CAN ,107302928
LVA, USA ,106909870.4
IRN, KWT ,106166568.7
PHL, NLD ,106089721.1
ROM, GEO ,105569369.8
AUT, AUS ,105447959.1
GEO, GRC ,105377640.9
CZE, GBR ,104913722.6
MUS, GBR ,104913722.6
GBR, GRC ,102745990.2
IND, MYS ,102605162.7
OMN, OMN ,102592327.2
MLT, AUS ,102319837.8
TUN, SWE ,102286649.9
STP, USA ,102009187.8
TZA, KOR ,101842867.2
CHE, DEU ,101696820.1
AUT, CAN ,101672904
TUN, DNK ,101185868.9
MUS, FRA ,100692988.6
DEU, POL ,100521299.7
VCT, USA ,99724426.93
EST, RUS ,99437907.36
SLE, MYS ,99184990.59
BOL, ARG ,98949219.91
BEL, CAN ,98837112.47
MNP, USA ,98728218.16
GRD, USA ,98691206.58
SGP, DEU ,98306293.26
NER, ESP ,97712914.13
HUN, AUT ,97603805.41
SWE, CAN ,97565895.59
COD, RWA ,96970611.07
MYS, CAN ,96302012.66
BEL, GBR ,96170912.39
LVA, GBR ,95901109.27
GBR, NZL ,95830156.22
OMN, GRC ,95734279.09
JPN, CAN ,95509946.75
PHL, GRC ,94991543.97
ZAF, ITA ,94773366.31
EGY, QAT ,94745168
ESP, QAT ,94745168
DZA, CAN ,94607871.7
ETH, ISR ,94560792.85
FRA, LUX ,94475568.99
VEN, GBR ,94422350.35
TUN, BGR ,94222277.93
TTO, DEU ,93362440.91
PER, KWT ,92895747.63
URY, KGZ ,92876469.56
VUT, PRT ,92667218.42
LTU, IRL ,92620603.5
IDN, JOR ,92574285.63
TZA, SWE ,92183437.36
AUT, GBR ,91799507.28
TTO, LBY ,91352086.88
LSO, ZAF ,91170713.71
QAT, BEL ,90862193.62
ZAF, URY ,89785229.41
BIH, ITA ,89637670.01
BGR, GBR ,89176664.22
CZE, ISR ,88845403.67
AZE, UKR ,88834285.04
AUS, CAN ,88789609.82
GBR, BMU ,88723549.85
SEN, USA ,88468912.55
OMN, SGP ,88057396.67
ARE, ITA ,86662417.62
TJK, GBR ,86553821.15
LBN, ITA ,86375833.99
FRA, TUR ,86301389.01
DEU, PRT ,86287097.22
TGO, NZL ,86190436.36
GHA, DEU ,86064865.2
SLB, YEM ,85823733.9
KAZ, ISR ,85612034.62
OMN, AUS ,85165624.38
FRA, NLD ,85055088.88
DNK, CAN ,84853726.79
SWZ, FIN ,84799479.91
BGR, USA ,84699303.35
ESP, CHE ,84624167.8
AFG, AUS ,84358367.27
URY, TKM ,84300013.71
SVK, DEU ,84290672.82
BIH, CAN ,84281679.19
ROM, KGZ ,84251717.14
JPN, FRA ,84136087.82
ARE, JPN ,84133917.26
BRB, GBR ,84118740.91
YEM, GBR ,83930978.09
ROM, FRA ,83875671.42
QAT, AUS ,83752924.45
DEU, DNK ,83139612.39
ZAF, PRT ,82711197.12
FRA, SEN ,82520281.24
RWA, USA ,82452118.67
IRN, ISR ,82359400.22
GBR, FIN ,82187611.57
OMN, FRA ,82135023.04
GBR, CHE ,82109047.94
HRV, FRA ,82095496.58
LTU, POL ,81654750.88
PSE, ARE ,81540829.05
GUY, CAN ,81204216.79
BLR, USA ,80656490.62
BLR, KAZ ,80096988.28
IND, JPN ,79973832.99
HND, ESP ,79553911.21
BIH, SVN ,79362446.68
IRQ, AUS ,79313010.38
EGY, AUS ,79111196.1
BGD, AUS ,78707567.55
DNK, GBR ,78685291.96
LBN, SAU ,78652184.29
