HostCode,TargetCode,Amount
ALB,TKL,0
ALB,TON,0
ALB,TTO,448
ALB,TUN,1920
ALB,TUR,313920
ALB,TKM,16320
ALB,TCA,0
ALB,TUV,0
ALB,UGA,1104
ALB,UKR,1597440
ALB,ARE,960
ALB,GBR,78720
ALB,USA,75840
ALB,URY,448
ALB,UZB,146880
ALB,VUT,0
ALB,VEN,448
ALB,VNM,64320
ALB,VGB,0
ALB,VIR,0
ALB,WLF,0
ALB,YEM,1920
ALB,ZMB,1104
ALB,ZWE,1104
DZA,AFG,1024920
DZA,ALB,347760
DZA,DZA,0
DZA,ASM,17280
DZA,AND,3240
DZA,AGO,339066
DZA,AIA,2160
DZA,ATG,30240
DZA,ARG,385560
DZA,ARM,400680
DZA,ABW,5400
DZA,AUS,1971000
DZA,AUT,2435400
DZA,AZE,579960
DZA,BHS,20520
DZA,BHR,1329480
DZA,BGD,2152440
DZA,BRB,43200
DZA,BLR,847800
DZA,BEL,2322000
DZA,BLZ,21600
DZA,BEN,264546
DZA,BMU,21600
DZA,BTN,4320
DZA,BOL,237848.9243
DZA,BIH,505440
DZA,BWA,8694
DZA,BRA,422280
DZA,BRN,34560
DZA,BGR,361800
DZA,BFA,597402
DZA,BDI,192510
DZA,KHM,126360
DZA,CMR,137862
DZA,CAN,1352160
DZA,CPV,81972
DZA,CYM,1080
DZA,CAF,69552
DZA,TCD,270756
DZA,CHL,227880
DZA,CHN,2516400
DZA,COL,697680
DZA,COM,777492
DZA,COG,231012
DZA,COD,367632
DZA,COK,9720
DZA,CRI,76581.26133
DZA,CIV,177606
DZA,HRV,282960
DZA,CUB,454680
DZA,CYP,110160
DZA,CZE,1252800
DZA,DNK,1058400
DZA,DJI,321678
DZA,DMA,17280
DZA,DOM,662652.8168
DZA,ECU,404108.8531
DZA,EGY,25054866
DZA,SLV,554812.065
DZA,GNQ,44712
DZA,ERI,7068222
DZA,EST,75600
DZA,ETH,403650
DZA,FLK,1080
DZA,FRO,0
DZA,FJI,60480
DZA,FIN,196560
DZA,FRA,17253000
DZA,GUF,2160
DZA,PYF,1080
DZA,GAB,24840
DZA,GMB,38502
DZA,GEO,446040
DZA,DEU,5785560
DZA,GHA,515430
DZA,GIB,9720
DZA,GRC,922320
DZA,GRL,2160
DZA,GRD,28080
DZA,GLP,1080
DZA,GUM,36720
DZA,GTM,540391.4469
DZA,GIN,331614
DZA,GNB,85698
DZA,GUY,105120
DZA,HTI,312120
DZA,HND,371077.2644
DZA,HKG,335880
DZA,HUN,212760
DZA,ISL,22680
DZA,IND,3569400
DZA,IDN,1306800
DZA,IRN,10071000
DZA,IRQ,11932920
DZA,IRL,420120
DZA,ISR,776520
DZA,ITA,3867480
DZA,JAM,387720
DZA,JPN,982800
DZA,JOR,8586000
DZA,KAZ,1558440
DZA,KEN,268272
DZA,KIR,1080
DZA,PRK,234360
DZA,KOR,698760
DZA,KWT,5424840
DZA,KGZ,247320
