OriginCode,DestCode,Migrants,,,
ARM,JPN,32.37,,,
ARM,VEN,27.81,,,
ARM,CHL,17.13,,,
ARM,COG,12.01,,,
ARM,DOM,9.03,,,
ARM,MAC,7.18,,,
ARM,PAN,5.90,,,
ARM,KHM,2.30,,,
ARM,MUS,1.97,,,
ARM,BOL,1.68,,,
ARM,PER,0.72,,,
ASM,USA,41101.49,,,
ASM,WSM,3003.34,,,
ASM,NZL,549.52,,,
ASM,AUS,208.79,,,
ASM,FJI,165.26,,,
ASM,KIR,110.10,,,
ASM,CAN,50.39,,,
ASM,GBR,39.74,,,
ASM,CZE,24.24,,,
ASM,SVK,6.59,,,
ASM,GUM,3.20,,,
ASM,NOR,2.91,,,
ASM,GRC,2.84,,,
ASM,NLD,2.17,,,
ASM,CYP,1.76,,,
ASM,FRA,1.14,,,
ASM,VEN,0.99,,,
ATG,USA,17610.92,,,
ATG,PHL,7495.16,,,
ATG,VGB,5293.04,,,
ATG,GBR,5153.86,,,
ATG,CAN,2724.04,,,
ATG,ANT,1238.61,,,
ATG,DMA,401.07,,,
ATG,DOM,397.18,,,
ATG,LCA,204.70,,,
ATG,KNA,188.34,,,
ATG,VCT,65.02,,,
ATG,ITA,44.21,,,
ATG,FRA,36.45,,,
ATG,AUS,32.54,,,
ATG,NLD,30.03,,,
ATG,CHE,26.93,,,
ATG,DEU,23.57,,,
ATG,ECU,19.81,,,
ATG,ESP,15.88,,,
ATG,FSM,14.88,,,
ATG,PER,14.39,,,
ATG,GRC,11.36,,,
ATG,SWE,9.70,,,
ATG,IRL,8.99,,,
ATG,BHS,7.11,,,
ATG,NZL,6.56,,,
ATG,JPN,5.06,,,
ATG,CZE,5.05,,,
ATG,CYM,2.94,,,
ATG,NOR,2.91,,,
ATG,BEL,2.67,,,
ATG,MAC,2.39,,,
ATG,VEN,1.99,,,
ATG,FIN,1.72,,,
ATG,PAN,1.47,,,
ATG,BLZ,1.37,,,
ATG,DNK,1.34,,,
ATG,POL,1.07,,,
AUS,GBR,121774.86,,,
AUS,USA,77618.72,,,
AUS,NZL,68629.19,,,
AUS,CAN,21140.38,,,
AUS,PNG,15531.02,,,
AUS,DEU,14013.64,,,
AUS,JPN,11160.28,,,
AUS,NLD,9984.46,,,
AUS,IRL,9674.28,,,
AUS,MDV,6902.69,,,
AUS,ESP,6190.51,,,
AUS,FRA,4802.68,,,
AUS,THA,4239.33,,,
AUS,CHE,3838.13,,,
AUS,TUR,3291.60,,,
AUS,SWE,3060.24,,,
AUS,PHL,2982.88,,,
AUS,ITA,2716.29,,,
AUS,ZAF,2642.83,,,
AUS,CYP,2631.00,,,
AUS,KOR,2508.81,,,
AUS,MHL,2449.93,,,
AUS,AUT,2203.45,,,
AUS,NPL,2077.20,,,
AUS,JOR,2053.87,,,
AUS,GRC,1904.11,,,
AUS,FJI,1770.39,,,
AUS,DNK,1764.12,,,
AUS,PRT,1680.81,,,
AUS,CHL,1607.06,,,
AUS,NOR,1601.33,,,
AUS,BEL,1514.74,,,
AUS,FIN,1126.10,,,
AUS,NGA,1087.17,,,
AUS,HRV,931.91,,,
AUS,HUN,846.48,,,
AUS,IND,691.08,,,
AUS,WSM,631.74,,,
AUS,SLB,589.19,,,
AUS,POL,579.93,,,
AUS,KHM,548.49,,,
AUS,BRN,529.56,,,
AUS,ECU,515.16,,,
AUS,BRA,448.74,,,
AUS,LKA,436.07,,,
AUS,MYT,431.25,,,
AUS,FSM,407.83,,,
AUS,SVK,331.10,,,
AUS,URY,260.72,,,
AUS,EGY,259.74,,,
AUS,VUT,253.71,,,
AUS,TLS,237.82,,,
AUS,CZE,232.34,,,
AUS,UGA,226.25,,,
AUS,ZMB,206.67,,,
AUS,COL,176.51,,,
AUS,MRT,149.45,,,
AUS,ISL,146.15,,,
AUS,BOL,127.42,,,
AUS,MAC,114.82,,,
AUS,VEN,109.25,,,
AUS,DOM,108.32,,,
AUS,CYM,96.90,,,
AUS,PER,85.63,,,
AUS,PAN,73.70,,,
AUS,BHS,59.57,,,
AUS,AND,58.94,,,
AUS,GTM,54.74,,,
AUS,BRB,31.57,,,
AUS,NIC,30.82,,,
AUS,PRY,25.33,,,
AUS,BLZ,13.66,,,
AUS,LUX,12.00,,,
AUS,ATG,5.32,,,
AUS,HND,5.22,,,
AUT,DEU,280520.08,,,
AUT,CHE,61293.37,,,
AUT,USA,53738.39,,,
AUT,CAN,24207.83,,,
AUT,AUS,21968.32,,,
AUT,GBR,21857.03,,,
AUT,TUR,16060.29,,,
AUT,FRA,13864.67,,,
AUT,ESP,10671.98,,,
AUT,ITA,8593.56,,,
AUT,CZE,7432.88,,,
AUT,SWE,7231.86,,,
AUT,HUN,6651.34,,,
AUT,NLD,6474.78,,,
AUT,ISR,4318.35,,,
AUT,BEL,4221.55,,,
AUT,POL,4133.08,,,
AUT,BRA,3231.70,,,
AUT,GRC,2522.09,,,
AUT,SVK,2441.04,,,
AUT,LTU,2221.84,,,
AUT,PHL,2064.00,,,
AUT,HRV,1807.83,,,
AUT,DNK,1627.43,,,
AUT,NOR,1512.61,,,
AUT,NZL,1463.55,,,
AUT,DOM,1439.79,,,
AUT,JOR,954.94,,,
AUT,IRL,913.96,,,
AUT,CHL,901.19,,,
AUT,SVN,832.63,,,
AUT,ECU,749.63,,,
AUT,MAC,746.30,,,
AUT,FSM,732.31,,,
AUT,VEN,722.01,,,
AUT,JPN,578.60,,,
AUT,PRT,551.34,,,
AUT,FIN,535.58,,,
AUT,CYP,310.66,,,
AUT,EGY,261.85,,,
AUT,URY,223.48,,,
AUT,BOL,222.98,,,
AUT,COL,167.48,,,
AUT,ISL,152.24,,,
AUT,PER,150.39,,,
AUT,PRY,132.29,,,
AUT,PAN,81.06,,,
AUT,NIC,66.26,,,
AUT,CYM,61.66,,,
AUT,LUX,26.52,,,
AUT,BHS,20.45,,,
AUT,BLZ,13.66,,,
AUT,HND,11.31,,,
AZE,RUS,866843.00,,,
AZE,ARM,164483.34,,,
AZE,UKR,92535.71,,,
AZE,KAZ,38921.12,,,
AZE,ISR,35101.30,,,
AZE,DEU,23264.62,,,
AZE,TUR,18807.40,,,
AZE,USA,9688.53,,,
AZE,TKM,7894.71,,,
AZE,GEO,7819.40,,,
AZE,LBN,5212.30,,,
AZE,BLR,3791.89,,,
AZE,NLD,2821.30,,,
AZE,CAN,2630.91,,,
AZE,IRN,2154.60,,,
AZE,LUX,848.52,,,
AZE,GBR,751.03,,,
AZE,ESP,568.64,,,
AZE,SWE,540.54,,,
AZE,POL,358.19,,,
AZE,FRA,349.72,,,
AZE,AUS,315.33,,,
AZE,ITA,254.17,,,
AZE,NOR,221.07,,,
AZE,AUT,196.04,,,
AZE,DNK,187.56,,,
AZE,CZE,185.87,,,
AZE,GRC,156.21,,,
AZE,CHE,151.51,,,
AZE,IRL,112.32,,,
AZE,BEL,110.67,,,
AZE,ARG,99.34,,,
AZE,FIN,68.66,,,
AZE,NZL,59.07,,,
AZE,JPN,47.54,,,
AZE,SVK,39.03,,,
AZE,CYP,33.35,,,
AZE,COG,24.02,,,
AZE,FSM,22.33,,,
AZE,HUN,19.28,,,
AZE,PRT,15.51,,,
AZE,MAC,4.78,,,
AZE,KHM,4.61,,,
AZE,BOL,3.35,,,
AZE,ECU,3.30,,,
AZE,PER,2.88,,,
AZE,MUS,1.97,,,
AZE,PAN,1.47,,,
AZE,URY,0.87,,,
AZE,LKA,0.55,,,
BDI,TZA,151312.58,,,
BDI,UGA,101826.21,,,
BDI,RWA,44785.40,,,
BDI,BEL,4990.92,,,
BDI,CAN,4860.19,,,
BDI,NLD,2697.83,,,
BDI,GBR,2678.26,,,
BDI,FRA,1370.40,,,
BDI,AUS,1261.34,,,
BDI,USA,1186.69,,,
BDI,DEU,739.66,,,
BDI,ITA,652.74,,,
BDI,SWE,515.09,,,
BDI,DNK,391.20,,,
BDI,CHE,388.30,,,
BDI,NOR,180.35,,,
BDI,NZL,127.98,,,
BDI,ESP,120.72,,,
BDI,IRL,89.86,,,
BDI,GRC,39.76,,,
BDI,MAC,37.08,,,
BDI,CAF,26.96,,,
BDI,PRT,21.15,,,
BDI,JPN,15.17,,,
BDI,FIN,10.30,,,
BDI,DOM,4.51,,,
BDI,SVK,3.78,,,
BDI,CYP,3.51,,,
BDI,TUR,3.36,,,
BDI,POL,3.20,,,
BDI,FSM,2.98,,,
BDI,HUN,1.93,,,
BDI,CHL,1.71,,,
BDI,BOL,1.68,,,
BDI,PAN,1.47,,,
BDI,CZE,1.01,,,
BDI,PER,0.72,,,
BEL,FRA,137974.17,,,
BEL,ESP,53684.43,,,
BEL,NLD,47940.21,,,
BEL,DEU,35981.53,,,
BEL,USA,34634.74,,,
BEL,CAN,23532.65,,,
BEL,GBR,22897.84,,,
BEL,MAC,17664.77,,,
BEL,CHE,12050.83,,,
BEL,TUR,9804.23,,,
BEL,ITA,7558.54,,,
BEL,AUS,6411.81,,,
BEL,PRT,4059.61,,,
BEL,POL,2625.68,,,
BEL,RWA,2449.85,,,
BEL,AUT,1990.42,,,
BEL,IRL,1872.73,,,
BEL,SWE,1643.44,,,
BEL,CHL,1440.87,,,
BEL,BRA,1415.63,,,
BEL,NOR,1319.17,,,
BEL,ECU,1172.33,,,
BEL,HUN,1140.53,,,
BEL,DNK,1085.81,,,
BEL,FSM,1080.61,,,
BEL,PHL,1056.79,,,
BEL,GRC,855.27,,,
BEL,CZE,762.68,,,
BEL,NZL,758.03,,,
BEL,DOM,731.18,,,
BEL,MNG,716.31,,,
BEL,JPN,706.05,,,
BEL,SVK,552.67,,,
BEL,GAB,534.61,,,
BEL,BOL,496.25,,,
BEL,FIN,353.62,,,
BEL,COL,349.00,,,
BEL,VEN,343.63,,,
BEL,AND,330.86,,,
BEL,PER,252.57,,,
BEL,EGY,234.40,,,
BEL,CYP,229.93,,,
BEL,GIN,203.76,,,
BEL,ISL,176.60,,,
BEL,URY,172.37,,,
BEL,PRY,108.84,,,
BEL,MUS,106.51,,,
BEL,MWI,94.60,,,
BEL,PAN,64.85,,,
BEL,NIC,64.72,,,
BEL,SVN,61.54,,,
BEL,BHS,18.67,,,
BEL,CYM,17.62,,,
BEL,LUX,16.41,,,
BEL,HND,15.66,,,
BEL,LTU,14.40,,,
BEL,BLZ,5.46,,,
BEN,NGA,238560.74,,,
BEN,TGO,74335.55,,,
BEN,CIV,62371.30,,,
BEN,GAB,32173.16,,,
BEN,NER,27691.33,,,
BEN,FRA,17162.97,,,
BEN,BFA,6513.21,,,
BEN,COG,5624.11,,,
BEN,ITA,2768.30,,,
BEN,GIN,2310.28,,,
BEN,DEU,1888.94,,,
BEN,USA,1415.37,,,
BEN,MUS,929.03,,,
BEN,MLT,577.06,,,
BEN,BEL,558.70,,,
BEN,CAN,516.52,,,
BEN,ESP,492.40,,,
BEN,GBR,316.57,,,
BEN,LBY,270.35,,,
BEN,NLD,244.26,,,
BEN,CHE,221.09,,,
BEN,CAF,204.87,,,
BEN,DNK,38.85,,,
BEN,IRL,38.19,,,
BEN,PRT,36.66,,,
BEN,JPN,31.36,,,
BEN,SWE,30.30,,,
BEN,CZE,28.28,,,
BEN,AUS,27.12,,,
BEN,DOM,27.08,,,
BEN,HUN,20.25,,,
BEN,MAC,13.16,,,
BEN,SVK,11.96,,,
BEN,NOR,10.18,,,
BEN,POL,7.47,,,
BEN,CYP,7.02,,,
BEN,NZL,6.56,,,
BEN,TUR,4.48,,,
BEN,GRC,4.26,,,
BEN,ECU,3.30,,,
BEN,FIN,1.72,,,
BEN,CHL,1.71,,,
BEN,PAN,1.47,,,
BFA,CIV,1310892.23,,,
BFA,NER,29881.29,,,
BFA,MLT,22365.26,,,
BFA,ITA,11650.52,,,
BFA,BEN,10605.86,,,
BFA,NGA,8307.40,,,
BFA,FRA,5324.41,,,
BFA,GAB,3766.98,,,
BFA,DEU,3674.74,,,
BFA,USA,809.67,,,
BFA,ESP,708.42,,,
BFA,BEL,524.03,,,
BFA,GIN,471.94,,,
BFA,CAN,440.93,,,
BFA,NLD,309.32,,,
BFA,CHE,261.49,,,
BFA,GBR,131.13,,,
BFA,CAF,98.39,,,
BFA,SWE,53.33,,,
BFA,DNK,38.85,,,
BFA,AUS,23.05,,,
BFA,NOR,14.54,,,
BFA,IRL,13.48,,,
BFA,JPN,13.15,,,
BFA,MAC,7.18,,,
BFA,ECU,6.60,,,
BFA,CZE,6.06,,,
BFA,TUR,5.60,,,
BFA,PER,5.04,,,
BFA,HUN,4.82,,,
BFA,GRC,4.26,,,
BFA,NZL,3.28,,,
BFA,POL,3.20,,,
BFA,FSM,2.98,,,
BFA,PRT,2.82,,,
BFA,FIN,1.72,,,
BFA,PAN,1.47,,,
BFA,SVK,1.26,,,
BGD,IND,3299268.34,,,
BGD,SAU,447054.50,,,
BGD,GBR,210243.77,,,
BGD,KGZ,208892.55,,,
BGD,OMN,149274.55,,,
BGD,USA,148325.78,,,
BGD,MDV,122912.43,,,
BGD,ARE,100667.69,,,
BGD,ITA,71830.16,,,
BGD,JOR,56977.89,,,
BGD,CAN,38683.64,,,
BGD,AUS,20496.76,,,
BGD,SGP,20432.14,,,
BGD,JPN,11384.84,,,
BGD,ESP,8706.30,,,
BGD,DEU,7092.95,,,
BGD,KOR,5226.79,,,
BGD,THA,5180.22,,,
BGD,GRC,4556.14,,,
BGD,SWE,4109.81,,,
BGD,IRL,2873.31,,,
BGD,FRA,1911.50,,,
BGD,AUT,1763.02,,,
BGD,NZL,1571.84,,,
BGD,BRN,1333.63,,,
BGD,MMR,1229.83,,,
BGD,BEL,1208.06,,,
BGD,MNP,1107.07,,,
BGD,NLD,1027.08,,,
BGD,PHL,939.03,,,
BGD,CHE,924.74,,,
BGD,NOR,773.76,,,
BGD,FIN,708.96,,,
BGD,NPL,641.01,,,
BGD,FJI,576.24,,,
BGD,CYP,573.94,,,
BGD,DNK,525.17,,,
BGD,EGY,432.90,,,
BGD,PRT,370.85,,,
BGD,TUR,369.72,,,
BGD,SVK,76.79,,,
BGD,POL,44.83,,,
BGD,MAC,39.47,,,
BGD,CZE,33.34,,,
BGD,MWI,31.53,,,
BGD,HUN,26.99,,,
BGD,BOL,25.15,,,
BGD,PAN,20.63,,,
BGD,FSM,14.88,,,
BGD,MUS,13.81,,,
BGD,CHL,11.99,,,
BGD,CYM,8.81,,,
BGD,ECU,6.60,,,
BGD,VEN,4.97,,,
BGD,DOM,4.51,,,
BGD,PER,4.32,,,
BGD,BLZ,1.37,,,
BGD,LUX,0.63,,,
BGR,TUR,538685.70,,,
BGR,ESP,173254.77,,,
BGR,DEU,74674.56,,,
BGR,GRC,53973.27,,,
BGR,ITA,43529.53,,,
BGR,MCO,42871.30,,,
BGR,GBR,35387.57,,,
BGR,USA,33610.83,,,
BGR,ROM,19751.55,,,
BGR,CAN,18567.68,,,
BGR,FRA,16492.54,,,
BGR,ISR,14567.94,,,
BGR,AUT,9199.33,,,
BGR,NLD,7639.00,,,
BGR,CYP,5434.00,,,
BGR,CZE,4735.71,,,
BGR,SWE,4635.81,,,
BGR,AUS,3468.68,,,
BGR,KAZ,3429.83,,,
BGR,BEL,3097.49,,,
BGR,CHE,3086.22,,,
BGR,POL,2062.81,,,
BGR,HUN,1645.72,,,
BGR,NOR,1503.88,,,
BGR,IRL,1363.62,,,
BGR,DNK,1357.90,,,
BGR,PHL,1318.67,,,
BGR,GEO,1199.80,,,
BGR,SVK,1092.74,,,
BGR,PRT,885.53,,,
BGR,FIN,860.03,,,
BGR,NZL,810.53,,,
BGR,DOM,532.59,,,
BGR,JPN,464.30,,,
BGR,FSM,321.50,,,
BGR,BRA,283.73,,,
BGR,ECU,267.49,,,
BGR,SVN,206.35,,,
BGR,MAC,199.73,,,
BGR,ISL,172.54,,,
BGR,CHL,167.90,,,
BGR,CUB,130.61,,,
BGR,VEN,109.25,,,
BGR,NIC,107.86,,,
BGR,PAN,98.75,,,
BGR,URY,71.03,,,
BGR,PER,41.74,,,
BGR,BOL,26.82,,,
BGR,LUX,18.31,,,
BHR,PHL,10434.66,,,
BHR,GBR,5543.28,,,
BHR,JOR,3493.86,,,
BHR,USA,3183.05,,,
BHR,CAN,1850.95,,,
BHR,AUS,1261.34,,,
BHR,IRL,388.64,,,
BHR,EGY,335.76,,,
